Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
14,Fri,Theft and Related Offences,440113.0,"Theft (Except Motor Vehicles), N.E.C.",Auckland Harbourside.,14,Auckland Region,Auckland.,1/12/2022,440113.0,Auckland Region,Auckland,1,1,-36.84466685,174.7577362
22,Wed,Acts Intended to Cause Injury,405700.0,Common Assault,St Lukes North.,22,Auckland Region,Auckland.,1/01/2023,405700.0,Auckland Region,Auckland,1,1,-36.8714298,174.7282617
17,Sat,Theft and Related Offences,376402.0,Illegal Use of a Motor Vehicle,New Windsor.,17,Auckland Region,Auckland.,1/12/2022,376402.0,Auckland Region,Auckland,2,2,-36.90435735,174.7189491
11,Wed,Acts Intended to Cause Injury,158701.0,Serious Assault Not Resulting in Injury,Oaktree.,11,Auckland Region,Auckland.,1/01/2023,158701.0,Auckland Region,Auckland,1,1,-36.71779271,174.7272526
15,Sat,Theft and Related Offences,269000.0,Theft of Motor Vehicle Parts or Contents,New Lynn South.,15,Auckland Region,Auckland.,1/12/2022,269000.0,Auckland Region,Auckland,2,2,-36.90669027,174.6692106
1,Tue,"Unlawful Entry With Intent/Burglary, Break and Enter",269000.0,"Unlawful Entry With Intent/Burglary, Break and Enter",New Lynn South.,1,Auckland Region,Auckland.,1/12/2022,269000.0,Auckland Region,Auckland,1,1,-36.90669027,174.6692106
13,Fri,Theft and Related Offences,409100.0,Theft From Retail Premises,Grey Lynn East.,13,Auckland Region,Auckland.,1/12/2022,409100.0,Auckland Region,Auckland,1,1,-36.85719097,174.7464593
14,Wed,Acts Intended to Cause Injury,223702.0,Serious Assault Not Resulting in Injury,Hobsonville East.,14,Auckland Region,Auckland.,1/01/2023,223702.0,Auckland Region,Auckland,1,1,-36.81108384,174.6240623
0,Sat,Theft and Related Offences,639900.0,"Theft (Except Motor Vehicles), N.E.C.",Hamlin.,0,Auckland Region,Auckland.,1/01/2023,639900.0,Auckland Region,Auckland,1,1,-36.90829161,174.8334761
22,Sat,Theft and Related Offences,457900.0,"Theft (Except Motor Vehicles), N.E.C.",Epsom North.,22,Auckland Region,Auckland.,1/12/2022,457900.0,Auckland Region,Auckland,1,1,-36.88032728,174.7738761
13,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",457900.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Epsom North.,13,Auckland Region,Auckland.,1/12/2022,457900.0,Auckland Region,Auckland,1,1,-36.88032728,174.7738761
18,Wed,Acts Intended to Cause Injury,240602.0,Serious Assault Not Resulting in Injury,Henderson North.,18,Auckland Region,Auckland.,1/12/2022,240602.0,Auckland Region,Auckland,1,1,-36.87975099,174.643705
22,Sat,Theft and Related Offences,532400.0,"Theft (Except Motor Vehicles), N.E.C.",Kingsland.,22,Auckland Region,Auckland.,1/12/2022,532400.0,Auckland Region,Auckland,1,1,-36.87507138,174.7443189
17,Wed,Acts Intended to Cause Injury,341400.0,Serious Assault Not Resulting in Injury,Beachhaven North.,17,Auckland Region,Auckland.,1/01/2023,341400.0,Auckland Region,Auckland,1,1,-36.78839228,174.6937273
22,Wed,Acts Intended to Cause Injury,276603.0,Serious Assault Not Resulting in Injury,Sunnyvale.,22,Auckland Region,Auckland.,1/01/2023,276603.0,Auckland Region,Auckland,1,1,-36.89371433,174.6369989
23,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",276603.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Sunnyvale.,23,Auckland Region,Auckland.,1/12/2022,276603.0,Auckland Region,Auckland,1,1,-36.89371433,174.6369989
11,Sat,Theft and Related Offences,526900.0,"Theft (Except Motor Vehicles), N.E.C.",Mt Albert Central.,11,Auckland Region,Auckland.,1/01/2023,526900.0,Auckland Region,Auckland,1,1,-36.87963269,174.718809
1,Wed,Acts Intended to Cause Injury,236607.0,Serious Assault Not Resulting in Injury,Sturges North.,1,Auckland Region,Auckland.,1/12/2022,236607.0,Auckland Region,Auckland,1,1,-36.86914509,174.6072323
8,Wed,Theft and Related Offences,236607.0,Illegal Use of a Motor Vehicle,Sturges North.,8,Auckland Region,Auckland.,1/01/2023,236607.0,Auckland Region,Auckland,1,1,-36.86914509,174.6072323
8,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",236607.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Sturges North.,8,Auckland Region,Auckland.,1/01/2023,236607.0,Auckland Region,Auckland,1,1,-36.86914509,174.6072323
9,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",236607.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Sturges North.,9,Auckland Region,Auckland.,1/01/2023,236607.0,Auckland Region,Auckland,1,1,-36.86914509,174.6072323
11,Sat,Theft and Related Offences,620400.0,"Theft (Except Motor Vehicles), N.E.C.",Penrose.,11,Auckland Region,Auckland.,1/01/2023,620400.0,Auckland Region,Auckland,1,1,-36.90120996,174.8044995
7,Sat,Theft and Related Offences,545700.0,"Theft (Except Motor Vehicles), N.E.C.",Sherbourne.,7,Auckland Region,Auckland.,1/01/2023,545700.0,Auckland Region,Auckland,1,1,-36.87593327,174.7561261
15,Sat,Theft and Related Offences,281903.0,"Theft (Except Motor Vehicles), N.E.C.",Karekare.,15,Auckland Region,Auckland.,1/12/2022,281903.0,Auckland Region,Auckland,1,1,-36.94242695,174.4649375
